playerName,bets,calls,checks,folds,raises,aggression
gutshot,3,9,13,0,4,0.2414
adam,6,8,7,0,3,0.375
WC^^,8,9,12,0,6,0.4
nobluff,3,2,2,0,3,0.6
shill5,3,24,115,0,4,0.0479
Tony_,1,7,14,0,2,0.125
hawaiiboy,18,12,24,0,15,0.4783
shill6,8,0,1,0,3,0.9167
perfecto,273,407,774,0,149,0.2633
igor,22,45,99,0,10,0.1818
Nomad,0,5,8,0,2,0.1333
shill,7,3,5,0,9,0.6667
jazbo,19,13,30,0,12,0.4189
dudehed,1,1,4,0,2,0.5
halibut,7,1,11,0,4,0.4783
lcoltuse,42,49,60,0,27,0.3876
JackFish,1,8,5,0,4,0.2778
ruth,11,13,24,0,7,0.3273
Raybyz,42,74,101,0,33,0.3
Lance,2,3,5,0,0,0.2
BillyB,4,2,2,0,0,0.5
Confusion,3,0,0,0,2,0.5
rocky,9,4,14,0,3,0.4
CRYPTIC,1,2,2,0,2,0.5
cptdag,5,12,10,0,3,0.2667
Bingo,1,3,3,0,2,0.5
Ollie,10,15,24,0,9,0.3276
sludge,29,53,72,0,29,0.3169
jpm,1,3,2,0,3,0.5
jism,46,35,39,0,30,0.5067
beauzeau,33,25,34,0,20,0.4732
irwin,7,8,5,0,4,0.4583
arclight,0,1,2,0,0,0.5
any2cnwin,43,64,63,0,35,0.3805
Patrick,10,5,6,0,5,0.5769
ISuckBad,1,2,2,0,2,0.5
Mr__Happy,0,1,3,0,0,0.5
rimedio,3,11,15,0,2,0.1613
AOLNEWBIE,12,0,2,0,6,0.9
Skull,0,0,3,0,0,0.5
Vanguard,0,1,3,0,0,0.5
WildCard,31,60,57,0,29,0.339
jarthur,5,5,8,0,0,0.2778
rcman,5,16,12,0,24,0.5088
